"concept_id","concept_code","concept_name","codeset","vocabulary_id"
195306,196731005,"Gastroduodenitis","gastroenteritis_dehydration","SNOMED"
195453,266081001,"Colitis, enteritis and gastroenteritis presumed infectious","gastroenteritis_dehydration","SNOMED"
197596,71583005,"Toxic gastroenteritis","gastroenteritis_dehydration","SNOMED"
255848,233604007,"Pneumonia","pneumonia","SNOMED"
256451,32398004,"Bronchitis","bronchitis","SNOMED"
256722,396285007,"Bronchopneumonia","pneumonia","SNOMED"
260125,5505005,"Acute bronchiolitis","bronchiolitis","SNOMED"
260134,71186008,"Croup","bronchitis","SNOMED"
260139,10509002,"Acute bronchitis","bronchitis","SNOMED"
261326,75570004,"Viral pneumonia","pneumonia","SNOMED"
435796,34095006,"Dehydration","gastroenteritis_dehydration","SNOMED"
443410,312342009,"Infective pneumonia","pneumonia","SNOMED"
756023,873906,"Acute bronchitis caused by severe acute respiratory syndrome coronavirus 2","bronchitis","OMOP Extension"
756031,4873909,"Bronchitis caused by COVID-19","bronchitis","OMOP Extension"
3661405,1.38e+17,"Acute bronchitis caused by SARS-CoV-2","bronchitis","SNOMED"
3661408,8.83e+17,"Pneumonia caused by SARS-CoV-2","pneumonia","SNOMED"
4001167,109814008,"Acute ulcerative gastroenteritis complicating pneumonia","gastroenteritis_dehydration","SNOMED"
4008724,111843007,"Viral gastroenteritis","gastroenteritis_dehydration","SNOMED"
4028970,13617004,"Tracheobronchitis","bronchitis","SNOMED"
4035960,15199004,"Acute bronchiolitis with bronchospasm","bronchiolitis","SNOMED"
4037854,162685008,"O/E - dehydrated","gastroenteritis_dehydration","SNOMED"
4044215,129452008,"Nonspecific interstitial pneumonia","pneumonia","SNOMED"
4048517,123587001,"Acute bronchopneumonia","pneumonia","SNOMED"
4049881,12463005,"Infectious gastroenteritis","gastroenteritis_dehydration","SNOMED"
4050869,233606009,"Atypical pneumonia","pneumonia","SNOMED"
4052543,233601004,"Acute viral bronchitis","bronchitis","SNOMED"
4052544,233602006,"Acute viral bronchiolitis","bronchiolitis","SNOMED"
4058712,16146001,"Viral bronchitis","bronchitis","SNOMED"
4098610,190894003,"Isonatremic dehydration","gastroenteritis_dehydration","SNOMED"
4101468,25374005,"Gastroenteritis","gastroenteritis_dehydration","SNOMED"
4102253,301003007,"Right middle zone pneumonia","pneumonia","SNOMED"
4112357,195717003,"Acute purulent bronchitis","bronchitis","SNOMED"
4112524,195737004,"Acute exudative bronchiolitis","bronchiolitis","SNOMED"
4114030,301002002,"Left upper zone pneumonia","pneumonia","SNOMED"
4114031,301004001,"Right upper zone pneumonia","pneumonia","SNOMED"
4116487,300999006,"Basal pneumonia","pneumonia","SNOMED"
4116488,301000005,"Left lower zone pneumonia","pneumonia","SNOMED"
4117114,301001009,"Right lower zone pneumonia","pneumonia","SNOMED"
4133224,278516003,"Lobar pneumonia","pneumonia","SNOMED"
4138769,425996009,"Bilateral basal pneumonia","pneumonia","SNOMED"
4145369,426696003,"Lingular pneumonia","pneumonia","SNOMED"
4146457,308119005,"Infantile viral gastroenteritis","gastroenteritis_dehydration","SNOMED"
4148204,35301006,"Acute tracheobronchitis","bronchitis","SNOMED"
4164770,40956001,"Guillain-Barre syndrome","guillain-barre","SNOMED"
4165112,4120002,"Bronchiolitis","bronchiolitis","SNOMED"
4170869,49513005,"Dehydration fever in newborn","gastroenteritis_dehydration","SNOMED"
4179634,52409006,"Bronchiolitis exudativa","bronchiolitis","SNOMED"
4186568,41269000,"Influenzal bronchopneumonia","pneumonia","SNOMED"
4197404,80257001,"Acute bronchitis with bronchospasm","bronchitis","SNOMED"
